entry_date,entry_price,exit_date,exit_price,trade_result_pct,win_or_loss,entry_trigger,exit_trigger,entry_price_next_trading_day_ALT,exit_price_next_trading_day_ALT
2018-11-08,280.5,2018-12-03,279.3,0.427807486631012,WIN,RAW_DECISION,MONTHLY_RESET,277.76,270.25
2018-12-06,269.84,2019-01-02,250.18,7.285798991995246,WIN,RAW_DECISION,MONTHLY_RESET,263.57,244.21
2019-01-04,252.39,2019-02-01,270.06,-7.00106977297041,LOSS,RAW_DECISION,MONTHLY_RESET,254.38,271.96
2019-05-14,283.4,2019-06-03,274.57,3.115737473535633,WIN,RAW_DECISION,MONTHLY_RESET,285.06,280.53
2019-06-05,282.96,2019-07-01,295.66,-4.488266892847062,LOSS,RAW_DECISION,MONTHLY_RESET,284.8,296.43
2019-08-06,287.8,2019-09-03,290.74,-1.0215427380125077,LOSS,RAW_DECISION,MONTHLY_RESET,287.97,294.04
2020-02-03,324.12,2020-03-02,309.09,4.637171417993345,WIN,DUAL_ACTION_ORDER_DEPENDENT,MONTHLY_RESET,329.06,300.24
2020-03-03,300.24,2020-04-01,246.15,18.01558752997602,WIN,RAW_DECISION,MONTHLY_RESET,312.86,251.83
2020-04-02,251.83,2020-05-01,282.79,-12.294007862446891,LOSS,RAW_DECISION,MONTHLY_RESET,248.19,283.57
2020-05-04,283.57,2020-06-01,305.55,-7.751172549987665,LOSS,RAW_DECISION,MONTHLY_RESET,286.19,308.08
2020-06-08,323.2,2020-07-01,310.52,3.923267326732675,WIN,RAW_DECISION,MONTHLY_RESET,320.79,312.23
2020-09-04,342.57,2020-10-01,337.04,1.614268616633089,WIN,RAW_DECISION,MONTHLY_RESET,333.21,333.84
2020-10-29,329.98,2020-11-02,330.2,-0.06667070731558591,LOSS,RAW_DECISION,MONTHLY_RESET,326.54,336.03
2020-11-05,350.24,2020-12-01,366.02,-4.5054819552306915,LOSS,RAW_DECISION,MONTHLY_RESET,350.16,366.79
2021-02-01,376.23,2021-03-01,389.58,-3.5483613746910043,LOSS,DUAL_ACTION_ORDER_DEPENDENT,MONTHLY_RESET,381.55,386.54
2021-03-02,386.54,2021-04-01,400.61,-3.6399855124954708,LOSS,RAW_DECISION,MONTHLY_RESET,381.42,406.36
2021-05-13,410.28,2021-06-01,419.67,-2.288680900848212,LOSS,RAW_DECISION,MONTHLY_RESET,416.58,420.33
2021-09-29,434.45,2021-10-01,434.24,0.04833697778800312,WIN,RAW_DECISION,MONTHLY_RESET,429.14,428.64
2021-12-01,450.5,2022-01-03,477.71,-6.039955604883458,LOSS,DUAL_ACTION_ORDER_DEPENDENT,MONTHLY_RESET,457.4,477.55
2022-01-06,467.94,2022-02-01,452.95,3.203402145574221,WIN,RAW_DECISION,MONTHLY_RESET,466.09,457.35
2022-02-14,439.02,2022-03-01,429.98,2.0591317024281275,WIN,RAW_DECISION,MONTHLY_RESET,446.1,437.89
2022-03-08,416.25,2022-04-01,452.92,-8.809609609609613,LOSS,RAW_DECISION,MONTHLY_RESET,427.41,456.8
2022-04-25,428.51,2022-06-01,409.59,4.415299526265435,WIN,RAW_DECISION,MONTHLY_RESET,416.1,417.39
2022-06-10,389.8,2022-07-01,381.24,2.19599794766547,WIN,RAW_DECISION,MONTHLY_RESET,375.0,381.96
2022-07-20,394.77,2022-08-01,410.77,-4.052992881931251,LOSS,RAW_DECISION,MONTHLY_RESET,398.79,408.06
2022-08-11,419.99,2022-09-01,396.42,5.612038381866233,WIN,RAW_DECISION,MONTHLY_RESET,427.1,392.24
2022-09-14,394.6,2022-10-03,366.61,7.093258996452105,WIN,RAW_DECISION,MONTHLY_RESET,390.12,377.97
2022-10-04,377.97,2022-11-01,384.52,-1.7329417678651624,LOSS,RAW_DECISION,MONTHLY_RESET,377.09,374.87
2022-11-03,371.01,2023-01-03,380.82,-2.644133581305087,LOSS,RAW_DECISION,MONTHLY_RESET,376.35,383.76
2023-02-22,398.54,2023-03-01,394.74,0.9534802027400038,WIN,RAW_DECISION,MONTHLY_RESET,400.66,397.81
2023-11-03,434.69,2023-12-01,459.1,-5.615496100669448,LOSS,RAW_DECISION,MONTHLY_RESET,435.69,456.69
2024-07-25,538.41,2024-08-01,543.01,-0.8543674894597098,LOSS,RAW_DECISION,MONTHLY_RESET,544.44,532.9
2024-08-05,517.38,2024-09-03,552.08,-6.7068692257141835,LOSS,RAW_DECISION,MONTHLY_RESET,522.15,550.95
2024-11-01,571.04,2024-12-02,603.63,-5.707130848977311,LOSS,DUAL_ACTION_ORDER_DEPENDENT,MONTHLY_RESET,569.81,603.91
2024-12-19,586.1,2025-01-02,584.64,0.24910424842177725,WIN,RAW_DECISION,MONTHLY_RESET,591.15,591.95
2025-03-11,555.92,2025-04-01,560.97,-0.9084040869189935,LOSS,RAW_DECISION,MONTHLY_RESET,558.87,564.52
2025-04-04,505.28,2025-05-01,558.47,-10.526836605446496,LOSS,RAW_DECISION,MONTHLY_RESET,504.38,566.76
2025-05-13,586.84,2025-06-02,592.71,-1.0002726467180159,LOSS,RAW_DECISION,MONTHLY_RESET,587.59,596.09
2025-10-13,663.04,2025-11-03,683.34,-3.061655405405416,LOSS,RAW_DECISION,MONTHLY_RESET,662.23,675.24
2026-01-21,685.4,2026-02-02,695.41,-1.4604610446454611,LOSS,RAW_DECISION,MONTHLY_RESET,688.98,689.53
2026-02-09,693.95,2026-03-02,686.38,1.090856689963261,WIN,RAW_DECISION,MONTHLY_RESET,692.12,680.33
